# T = 298 K (well, RT)
# source: 10.1002/anie.201408464
# WARNING: EXCESS isotherms!
# Metalâ€“Organic Frameworks for Oxygen Storage
pressure[bar],uptake[mmol/g]
140.187207488,8.87730292938
135.132605304,8.91922751857
130.07800312,8.8540857266
125.210608424,8.85321716937
120.15600624,8.8523152061
115.101404056,8.82999996659
109.859594384,8.78623804481
105.179407176,8.74257634117
100.31201248,8.63464140279
95.4446177847,8.5267064644
90.5772230889,8.56866445964
85.7098283931,8.56779590241
80.2808112324,8.43834746966
75.0390015601,8.28751916672
69.984399376,8.0510711649
64.5553822153,7.83596962722
59.6879875195,7.59955503145
55.007800312,7.3417605655
51.6380655226,7.08419994187
47.3322932917,6.82647228801
41.7160686427,6.39720458197
34.4149765991,5.73209018296
25.616224649,4.74550939211
19.4383775351,3.90928921953
13.8221528861,3.00892943641
10.0780031201,2.32303647606
8.39313572543,2.00153667817
6.52106084243,1.63717692177
4.27457098284,1.12285741965
2.21528861154,0.629984599812
